,Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance,Road-to-trail
Value,Saucony,Peregrine 13,Peregrine 12,Trail,9.2 oz (261 g),$140.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,,Medium cushioning,Some stability,Medium,,Solid protection,Provide Traction,Adequate,
Value,Altra,Provision 7,Provision 6,Road,9.1 oz (258 g),$140.00,30 mm.,30 mm.,mm.,No plate,True to size,Normal,Normal,Tight,Balanced,Highly cushioned,Some stability,Medium,,,,,
Value,Salomon,Speedcross 6,Speedcross 5,Trail,10.5 oz (298 g),$140.00,35.5 mm.,25.5 mm.,10 mm.,No plate,Buy half size smaller,Normal,Tight,Normal,Balanced,Medium cushioning,Very stable,Rigid,,Not present,Provide Traction,Good,
Value,Asics,Hyper Speed 3,Hyper Speed,Racing,6.8 oz (193 g),$90.00,mm.,mm.,7 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Some stability,Flexible,,,,,
Value,Puma,Velocity Nitro 2,Velocity Nitro,Cushioning,8.8 oz (249 g),$120.00,33.5 mm.,23.5 mm.,10 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Not particularly stable,Medium,,,,,
Value,Puma,Liberate Nitro 2,,Lightweight,6.5 oz (184 g),$120.00,26 mm.,18 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Not particularly stable,Medium,,,,,
Value,Adidas,AdiZero Boston 12,adizero Boston 11,Cushioning,9.4 oz (266 g),$160.00,37 mm.,30.5 mm.,6.5 mm.,Plate in other materials,True to size,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,,
Value,Nike,Wildhorse 8,Wildhorse 7,Trail,11.4 oz (323 g),130.00,35.5 mm.,27.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Some stability,Medium,,Average protection,Average Traction,Poor,
Value,Asics,Magic Speed 3,Magic Speed 2,Racing,7.8 oz (221 g),$160.00,34.5 mm.,27.5 mm.,7 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,,
Value,ON,Cloudflow 3,Cloudflow,Cushioning,9 oz (255 g),$140.00,30 mm.,24 mm.,6 mm.,Plate in other materials,True to size,Normal,Tight,Tight,Responsive,Little cushioning,Very stable,Medium,,,,,
Value,Adidas,adizero Takumi Sen 9,adizero Takumi Sen 8,Racing,6.6 oz (187 g),$180.00,33 mm.,27 mm.,6 mm.,Plate in other materials,True to size,Tight,Tight,Tight,Balanced,Medium cushioning,Not particularly stable,Medium,,,,,
Value,Mizuno,Wave Duel Pro,,Racing,6.7 oz (190 g),$250.00,26 mm.,18 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Responsive,Medium cushioning,Not particularly stable,Rigid,,,,,
Value,Asics,Fuji Lite 3,,Trail,9.2 oz (261 g),$120.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Tight,Tight,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,Not present,Provide Traction,Adequate,
Value,Puma,Magnify Nitro,,Cushioning,10.7 oz (303 g),$140.00,38.5 mm.,29.5 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,,
Value,Nike,React Terra Kiger 9,,Trail,9.8 oz (278 g),$150.00,31 mm.,28 mm.,3 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Not particularly stable,Medium,,Lacks protection,Average Traction,Good,
Value,Saucony,Guide 16,Guide 15,Road,9.5 oz (269 g),$140.00,35 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Flexible,Guide,,,,
Value,Reebok,Floatride Energy X,,Racing,9.1 oz (258 g),170.00,mm.,mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,,
Value,ON,Cloudstratus 2,,Cushioning,10.4 oz (295 g),$170.00,36 mm.,28 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,,
Value,Salomon,Aero Volt,,Cushioning,7.7 oz (218 g),$150.00,32.5 mm.,24.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Flexible,,,,,
Value,Atreyu,The Artist,,Racing,7.8 oz (221 g),100.00,30 mm.,24 mm.,6 mm.,Full length carbon plate,Buy half size bigger,Wide,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,,,,,
Value,Saucony,Cohesion 16,Cohesion 15,Cushioning,9.1 oz (258 g),$75.00,28.5 mm.,16.5 mm.,12 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Medium,,,,,
Value,Reebok,Floatride Energy 5,,Cushioning,9.4 oz (266 g),$110.00,mm.,mm.,8 mm.,No plate,True to size,Tight,Normal,Normal,Balanced,Medium cushioning,Some stability,Medium,,,,,
Value,Asics,Gel Trabuco 11,Gel Trabuco 9,Trail,10.6 oz (301 g),$140.00,35.5 mm.,27.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Some stability,Medium,,Solid protection,Provide Traction,Good,
Value,Asics,Gel Cumulus 25,Gel Cumulus 24,Cushioning,9.3 oz (264 g),$140.00,36.5 mm.,28.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Very stable,Flexible,Gel Cumulus,,,,
Value,ON,Cloudgo,,Cushioning,9.3 oz (264 g),$150.00,34 mm.,23 mm.,11 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Balanced/plush,Medium cushioning,Not particularly stable,Medium,,,,,
Value,Saucony,Ride 16,Ride 15,Cushioning,8.8 oz (249 g),$140.00,mm.,mm.,8 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,Ride,,,,
Value,Adidas,Solar Glide 6,Solar Glide 5,Cushioning,12.1 oz (343 g),$130.00,36.5 mm.,26.5 mm.,10 mm.,No plate,True to size,Tight,Tight,Tight,Balanced,Highly cushioned,Not particularly stable,Medium,,,,,
