Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance
Saucony,Ride 17,Ride 16,Cushioning,10.1 oz (286 g),$140.00,37 mm.,29 mm.,8 mm.,No plate,True to size,Normal,Wide,Normal,Responsive/balanced,Medium cushioning,Very stable,Flexible,Ride,,,
Hoka One One,Stinson 7,Stinson ATR 6,Trail,12.7 oz (360 g),$170.00,45 mm.,40 mm.,5 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Very stable,Rigid,,Not present,Average Traction,Adequate
Asics,GT 2000 12,GT 2000 11,Road,9.5 oz (269 g),$140.00,,,8 mm.,No plate,True to size,Tight,Normal,Wide,Balanced,Medium cushioning,Some stability,Medium,GT 2000,,,
Hoka One One,Zinal 2,Zinal,Trail,8 oz (227 g),$160.00,30 mm.,25 mm.,5 mm.,No plate,True to size,Tight,Wide,Tight,Responsive/balanced,Medium cushioning,Not particularly stable,Rigid,,Not present,Average Traction,Adequate
Asics,Gel-Excite 10,Gel Excite 7,Cushioning,10 oz (283 g),$85.00,,,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Not particularly stable,Flexible,,,,
Nike,Vomero 17,Air Zoom Vomero 16,Cushioning,10.6 oz (301 g),$160.00,39 mm.,29 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Flexible,Vomero,,,
Asics,Fuji Lite 4,Fuji Lite 3,Trail,9.4 oz (266 g),$130.00,33 mm.,29 mm.,4 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,,Not present,Provide Traction,Adequate
Nike,Downshifter 12,Downshifter 11,Cushioning,10 oz (283 g),$70.00,,,10 mm.,No plate,Buy half size bigger,Normal,Normal,Tight,Balanced,Medium cushioning,Very stable,Medium,,,,
Brooks,Cascadia 17,Cascadia 16,Trail,11.3 oz (320 g),$140.00,33 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Rigid,,Solid protection,Provide Traction,Good
Salomon,Thundercross,,Trail,9.8 oz (278 g),$140.00,31 mm.,27 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,Average protection,Provide Traction,Adequate
Brooks,Ghost Max,,Cushioning,10 oz (283 g),$150.00,39 mm.,33 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,Ghost,,,
Hoka One One,HOKA Gaviota 5,Gaviota 4,Road,10.9 oz (309 g),$175.00,,,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Asics,Gel-Kinsei Max,,Cushioning,11.7 oz (332 g),$180.00,,,8 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Tight,Plush,Highly cushioned,Very stable,Flexible,,,,
ON,Cloudstratus 3,Cloudstratus 2,Cushioning,10.3 oz (292 g),$180.00,37 mm.,31 mm.,6 mm.,Plate in other materials,True to size,Normal,Wide,Wide,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Hoka One One,HOKA Cielo Road,,Road,7.1 oz (201 g),$160.00,33 mm.,30 mm.,3 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Not particularly stable,Medium,,,,
Puma,Voyage Nitro 3,,Trail,9.6 oz (272 g),$140.00,34 mm.,30 mm.,4 mm.,No plate,True to size,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Provide Traction,Adequate
Saucony,Endorphin Pro 4,Endorphin Pro 3,Racing,7.4 oz (210 g),$225.00,39.5 mm.,31.5 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Rigid,Endorphin,,,
Brooks,Adrenaline GTS 23,Adrenaline GTS 22,Road,10.1 oz (286 g),$140.00,36 mm.,24 mm.,12 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,Adrenaline,,,
Adidas,Adizero Prime X 2 Strung,Adidas Adizero Prime X Strung,Racing,10.85 oz (308 g),$300.00,50 mm.,43 mm.,7 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Rigid,,,,
Nike,Structure 25,Air Zoom Structure 24,Road,11.4 oz (323 g),$130.00,37 mm.,27 mm.,10 mm.,No plate,True to size,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Very stable,Flexible,Structure,,,
Mizuno,Wave Sky 7,,Cushioning,10.9 oz (309 g),$170.00,40 mm.,32 mm.,8 mm.,No plate,True to size,Normal,Wide,Wide,Plush,Highly cushioned,Some stability,Medium,,,,
Brooks,Caldera 6,Caldera 5,Trail,11.1 oz (315 g),$150.00,36 mm.,30 mm.,6 mm.,No plate,True to size,Wide,Wide,Wide,Balanced,Highly cushioned,Very stable,Medium,,Not present,Provide Traction,Adequate
Brooks,Hyperion GTS,,Road,8.1 oz (230 g),$140.00,27 mm.,19 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,
Altra,Outroad 2,Outroad,Trail,11 oz (312 g),$140.00,30 mm.,30 mm.,mm.,No plate,Buy half size bigger,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,,Not present,Average Traction,Adequate
Saucony,Triumph 21,Triumph 20,Cushioning,10 oz (283 g),$160.00,39 mm.,29 mm.,10 mm.,No plate,True to size,Tight,Normal,Wide,Balanced/plush,Highly cushioned,Not particularly stable,Medium,Triumph,,,
Altra,Superior 6,Superior 4,Trail,10.1 oz (286 g),$130.00,,,0 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Not particularly stable,Medium,,Not present,Average Traction,Poor
Saucony,Kinvara Pro,,Lightweight,8.4 oz (238 g),$180.00,42 mm.,34 mm.,8 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Rigid,Kinvara,,,
Adidas,Switch FWD,,Cushioning,11.8 oz (335 g),$140.00,45 mm.,35 mm.,10 mm.,Plate in other materials,True to size,Normal,Wide,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,
